JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
19              7               4               118             NR:NM           
5               6               50              82              NR:NM           
17              3               0               24              NR:NM           
20              6               13              8               NR:NM           
7               81              77              73              NR:NM           
19              33              7               38              NR:NM           
10              41              4               72              NR:NM           
17              8               9               36              NR:NM           
5               55              35              42              NR:NM           
10              36              2               39              NR:NM           
4               51              33              74              NR:NM           
7               55              104             53              NR:NM           
19              4               19              118             NR:NM           
20              9               32              88              NR:NM           
7               77              22              73              NR:NM           
4               34              2               5               NR:NM           
5               50              9               82              NR:NM           
20              13              29              8               NR:NM           
19              0               4               16              NR:M            
10              16              6               33              NR:M            
18              4               85              28              NR:NM           
19              19              27              118             NR:NM           
10              2               41              39              NR:NM           
18              6               44              109             NR:NM           
7               83              70              18              NR:NM           
20              32              25              88              NR:NM           
19              4               5               16              NR:NM           
4               52              48              77              NR:NM           
5               35              64              42              NR:NM           
7               22              105             73              NR:NM           
20              29              30              8               NR:NM           
19              27              8               118             NR:NM           
10              4               13              72              NR:NM           
18              11              27              22              NR:NM           
7               70              74              18              NR:NM           
20              25              2               88              NR:NM           
10              6               31              33              NR:NM           
5               9               16              82              NR:NM           
4               2               30              5               NR:M            
7               84              54              79              NR:NM           
19              5               20              16              NR:NM           
5               57              8               1               NR:NM           
20              30              17              8               NR:NM           
10              13              15              72              NR:NM           
19              3               9               123             NR:M            
7               74              65              18              NR:NM           
19              20              17              16              NR:NM           
5               16              15              82              NR:NM           
18              15              58              110             NR:NM           
4               48              19              77              NR:NM           
7               54              76              79              NR:NM           
20              2               4               88              NR:NM           
19              9               1               123             NR:NM           
18              25              11              116             NR:NM           
10              31              17              33              NR:NM           
20              17              22              8               NR:NM           
18              27              19              22              NR:NM           
19              17              19              16              NR:NM           
5               59              11              62              NR:NM           
10              15              16              72              NR:NM           
18              11              42              116             NR:NM           
7               85              43              48              NR:NM           
10              17              31              33              NR:NM           
20              4               15              88              NR:NM           
7               76              24              79              NR:NM           
18              19              48              22              NR:NM           
19              1               6               123             NR:NM           
20              22              3               8               NR:NM           
4               30              21              5               NR:NM           
10              16              35              72              NR:NM           
7               43              9               48              NR:NM           
18              29              75              61              NR:NM           
19              7               21              38              NR:M            
10              31              29              33              NR:NM           
5               15              24              82              NR:NM           
20              15              37              88              NR:NM           
18              30              31              46              NR:NM           
7               24              59              79              NR:NM           
19              6               1               123             NR:M            
10              35              36              72              NR:NM           
7               9               42              48              NR:NM           
18              33              29              50              NR:NM           
4               3               24              31              NR:M            
7               59              49              79              NR:NM           
19              21              6               38              NR:NM           
10              29              20              33              NR:NM           
20              42              7               80              NR:NM           
5               11              19              62              NR:NM           
7               42              98              48              NR:NM           
19              1               32              123             NR:NM           
18              31              13              46              NR:NM           
